timestamp,value
04.03.2022,2692
05.03.2022,3527
06.03.2022,2506
07.03.2022,3445
08.03.2022,3469
09.03.2022,3412
10.03.2022,3524
11.03.2022,3784
12.03.2022,3401
13.03.2022,2548
14.03.2022,3433
15.03.2022,3157
16.03.2022,3273
17.03.2022,3076
18.03.2022,3566
19.03.2022,3228
20.03.2022,2324
21.03.2022,3184
22.03.2022,3080
23.03.2022,630
24.03.2022,0
25.03.2022,0
26.03.2022,0
27.03.2022,0
28.03.2022,0
29.03.2022,2443
30.03.2022,3374
31.03.2022,3639
01.04.2022,3804
02.04.2022,3335
03.04.2022,2378
04.04.2022,2548
05.04.2022,3193
06.04.2022,3323
07.04.2022,3332
08.04.2022,3774
09.04.2022,3248
10.04.2022,2415
11.04.2022,3418
12.04.2022,3497
13.04.2022,3386
14.04.2022,3728
15.04.2022,2650
16.04.2022,3378
17.04.2022,2506
18.04.2022,2503
19.04.2022,3549
20.04.2022,3467
21.04.2022,3594
22.04.2022,3962
23.04.2022,3778
24.04.2022,2628
25.04.2022,3619
26.04.2022,3806
27.04.2022,3775
28.04.2022,3942
29.04.2022,4406
30.04.2022,3898
01.05.2022,3198
02.05.2022,4212
03.05.2022,3796
04.05.2022,3837
05.05.2022,3842
06.05.2022,4097
07.05.2022,3856
08.05.2022,2808
09.05.2022,3522
10.05.2022,3687
11.05.2022,3596
12.05.2022,3977
13.05.2022,4061
14.05.2022,3721
15.05.2022,2824
16.05.2022,3257
17.05.2022,3343
18.05.2022,3553
19.05.2022,3559
20.05.2022,3970
21.05.2022,3679
22.05.2022,2955
23.05.2022,3670
24.05.2022,3674
25.05.2022,3956
26.05.2022,2819
27.05.2022,4090
28.05.2022,3811
29.05.2022,2894
30.05.2022,3700
31.05.2022,3776
01.06.2022,3727
02.06.2022,3701
03.06.2022,3925
04.06.2022,3470
05.06.2022,2999
06.06.2022,2525
07.06.2022,2566
